name,slot,era,height,weight,bats,throws,hometown,birthday,blurb
Rickey Henderson,1,1970-2009,5-10,180,Left,Right,"Chicago, IL",12/25/1958,Henderson is MLB's all-time leader in stolen bases and runs scored.
Kenny Lofton,1,1970-2009,6-0,180,Left,Left,"East Chicago, IN",5/31/1967,"Lofton played college basketball at Arizona, going to the Final Four in 1988."
Ichiro Suzuki,1,1970-2009,5-11,175,Left,Right,"Nishi Kasugai-gun, Japan",10/22/1973,"Ichiro had more than 4,000 hits as a professional across his career in Japan and the United States."
Marcus Semien,1,2010-present,6-0,195,Right,Right,"San Francisco, CA",9/17/1990,Semien set the all-time single-season record for home runs by a second baseman (45) in 2021.
Mookie Betts,1,2010-present,5-9,180,Right,Right,"Nashville, TN",10/7/1992,Betts is an avid bowler.
Ronald Acuña Jr.,1,2010-present,6-0,205,Right,Right,"La Guaira, Venezuela",12/18/1997,"In 2023, Acuña became MLB’s first member of the 40 HR/70 SB club."
Ozzie Smith,2,1970-2009,5-11,150,Both,Right,"Mobile, AL",12/26/1954,"The “Wizard of Oz” also won 13 Gold Gloves as a fielder, the most of any SS ever."
Derek Jeter,2,1970-2009,6-3,195,Right,Right,"Pequannock, NJ",6/26/1974,Jeter was also penciled in at No. 2 (behind George Clooney) on People magazine’s inaugural list of Most Eligible Bachelors in 2000.
Jay Bell,2,1970-2009,6-1,180,Right,Right,"Eglin Air Force Base, FL",12/11/1965,"On July 11, 1999, Arizona resident Gylene Hoyle <a href=https://www.azcentral.com/story/sports/mlb/diamondbacks/2019/07/11/grand-slam-diamondbacks-jay-bell-still-going-20-years-later/1706518001/ target=_blank>won $1 million</a> in a radio contest by correctly picking Bell to hit a home run in the sixth inning against the Oakland A’s."
Corey Seager,2,2010-present,6-4,215,Left,Right,"Charlotte, NC",4/27/1994,Seager won 2 World Series MVPs — with two different teams! — while batting out of the 2-hole.
Mike Trout,2,2010-present,6-2,235,Right,Right,"Vineland, NJ",8/7/1991,Trout became the best player of the 2010s (according to Wins Above Replacement) while primarily batting second in the Angels’ lineup.
Shohei Ohtani,2,2010-present,6-4,210,Left,Right,"Oshu, Japan",7/5/1994,"A two-way star, Ohtani in 2022 became the first player in history to win 10 games as a pitcher and hit 30 HR as a batter in the same season."
George Brett,3,1970-2009,6-0,180,Left,Right,"Glen Dale, WV",5/15/1953,<a href=https://www.si.com/extra-mustard/2013/12/10/lordes-royals-was-inspired-by-george-brett-and-the-kansas-city-royals target=_blank>A 1976 photograph</a> of Brett inspired the New Zealand singer Lorde to write her hit song “Royals”.
Jeff Bagwell,3,1970-2009,6-0,195,Right,Right,"Boston, MA",5/27/1968,"Bagwell had a highly recognizable batting stance, in which he spread his legs wide and crouched low to the ground before unleashing a mighty swing."
Ken Griffey Jr.,3,1970-2009,6-3,195,Left,Left,"Donora, PA",11/21/1969,"With his backwards cap and sweet swing, “Junior” was widely regarded as the coolest player of the ‘90s."
Miguel Cabrera,3,2010-present,6-4,267,Right,Right,"Maracay, Venezuela",4/18/1983,"In 2012, Cabrera won AL MVP while becoming MLB’s first Triple Crown winner in 45 years."
Joey Votto,3,2010-present,6-2,220,Left,Right,"Toronto, Canada",6/10/1983,Votto led the National League in on-base percentage seven times and is one of only 63 players with a career OBP over .400.
José Bautista,3,2010-present,6-0,205,Right,Right,"Santo Dominto, Dominican Republic",10/19/1980,"Bautista was <a href=https://neilpaine.substack.com/p/jose-bautista-was-baseballs-greatest?utm_source=publication-search target=_blank>baseball’s greatest late bloomer</a>, with the fewest WAR through age 27 of any batter who eventually compiled 30+ career WAR."
Manny Ramirez,4,1970-2009,6-0,225,Right,Right,"Santo Domingo, Dominican Republic",5/30/1972,"One of Ramirez’s <a href=https://www.youtube.com/watch?v=Md8j_Sq5Nbs target=_blank>most memorable plays</a> involved him running down a fly ball in deep left field, making the catch, scaling the wall and high-fiving a fan before throwing the ball back in."
Eddie Murray,4,1970-2009,6-2,190,Both,Right,"Los Angeles, CA",2/24/1956,"Among switch-hitters who hit 300 or more career home runs, Murray and Mickey Mantle are the only ones with at least 140 HRs from both sides of the plate."
Fred McGriff,4,1970-2009,6-3,200,Left,Left,"Tampa, FL",10/31/1963,The “Crime Dog” ignited the 1993 Braves to a comeback in the standings after their <a href=https://www.ajc.com/sports/baseball/the-night-the-stadium-caught-fire-and-the-braves-got-hot/5RzNVf93Ot5CTQa3WE1SEM/ target=_blank>home stadium caught fire</a> the day he arrived via trade.
Prince Fielder,4,2010-present,5-11,275,Left,Right,"Ontario, CA",5/9/1984,"In 2007, Fielder joined his father Cecil in the 50 HR club, the only father-son duo to ever both reach that threshold. (Prince and Cecil also each finished their careers with exactly 319 HR apiece.)"
Adrián Beltré,4,2010-present,5-11,220,Right,Right,"Santo Domingo, Dominican Republic",4/7/1979,"Along with Willie Mays, Carl Yastrzemski and Dave Winfield, Beltré is one of four players with 3,000+ career hits, 400+ home runs and 5 or more Gold Glove awards on defense."
Khris Davis,4,2010-present,5-11,205,Right,Right,"Lakewood, CA",12/21/1987,"In one of the most mind-boggling statistical coincidences ever seen in sports, Davis hit exactly .247 in four consecutive seasons from 2015 to 2018."
Graig Nettles,5-7,1970-2009,6-0,180,Left,Right,"San Diego, CA",8/20/1944,"In September 1974, Nettles was <a href=https://thisdayinbaseball.com/graig-nettles-will-be-suspended-for-ten-days-after-stuffing-his-bat-with-six-super-balls/ target=_blank>suspended 10 days</a> for “corking” his bat — hollowing it out and filling it with bouncy superballs."
Robin Ventura,5-7,1970-2009,6-1,185,Left,Right,"Santa Maria, CA",7/14/1967,Ventura’s <a href=https://www.youtube.com/watch?v=3aO_9X9bCKc target=_blank>most famous hit</a> was a walk-off grand slam that only counted as a single because his Mets teammates mobbed him before he could get to home plate.
Ron Cey,5-7,1970-2009,5-10,185,Right,Right,"Tacoma, WA",2/15/1948,"Cey was nicknamed “The Penguin” because his running form resembled that of a waddling, flightless Antarctic bird."
Yadier Molina,5-7,2010-present,5-11,225,Right,Right,"Bayamon, Puerto Rico",7/13/1982,"Collectively along with siblings Bengie and José, the Molina Brothers caught an astounding 4,384 major-league games behind the plate."
Brandon Crawford,5-7,2010-present,6-1,223,Left,Right,"Mountain View, CA",1/21/1987,"Crawford batted 9th when the Giants won the 2012 World Series and 8th when they won again in 2014, but later he spent the majority of his best seasons batting either 5th, 6th or 7th."
Howie Kendrick,5-7,2010-present,5-11,225,Right,Right,"Jacksonville, FL",7/12/1983,"Coming from the 5-hole in the Nats’ order, Kendrick’s go-ahead HR in the seventh inning of Game 7 in the 2019 World Series added 33 percentage points to Washington’s championship chances, making it the <a href=https://stathead.com/tiny/3JwRu target=_blank>13th-most impactful play</a> in MLB history by that measure."
Ozzie Guillén,8-9,1970-2009,5-11,150,Left,Right,"Ocumare del Tuy, Venezuela",1/20/1964,"Guillen, who later went on to manage the White Sox and Marlins, holds the career record for most games penciled into the No. 9 hole (1,185)."
Bucky Dent,8-9,1970-2009,5-11,170,Right,Right,"Savannah, GA",11/25/1951,"Dent was batting 9th for the Yankees on October 2, 1978, when he hit the HR that buried the Red Sox in the AL East tie-breaker game."
César Izturis,8-9,2010-present,5-9,180,Both,Right,"Barquisimeto, Venezuela",2/10/1980,"Izturis was a lifer in the No. 8 and 9 slots, recording 98.7% of his career PA there (73.7% in 9th and 25.0% in 8th)."
Kevin Kiermaier,8-9,2010-present,6-1,210,Left,Right,"Fort Wayne, IN",4/22/1990,"By Baseball-Reference’s accounting, <a href=https://stathead.com/tiny/7H9vN target=_blank>Kiermaier is the sixth-best defensive center fielder of all time</a>, saving 176 runs as compared with an average defender."