slot,rank,name,era,win_shares,average,power,walks,speed,pct_at_slot
1,1,Rickey Henderson,1970-2009,440,3.1,2.3,4.8,4.5,98.8
1,2,Kenny Lofton,1970-2009,284,3.5,1.3,3.0,4.8,93.6
1,3,Brett Butler,1970-2009,258,3.8,0.9,4.0,4.4,88.7
1,4,Ichiro Suzuki,1970-2009,222,4.8,0.6,1.0,4.4,98.8
1,5,Tim Raines,1970-2009,271,3.9,2.2,4.1,4.8,66.0
1,6,Johnny Damon,1970-2009,242,3.0,1.9,2.9,4.5,77.7
1,7,Willie Wilson,1970-2009,185,3.9,0.9,0.5,4.9,92.6
1,8,Chuck Knoblauch,1970-2009,208,3.4,1.3,3.5,4.5,80.9
1,9,Paul Molitor,1970-2009,335,4.2,2.3,2.8,4.1,64.3
1,10,Rafael Furcal,1970-2009,159,2.8,1.1,2.5,4.5,92.7
1,11,Pete Rose,1970-2009,289,4.3,1.7,3.2,2.9,85.3
1,12,Brian Roberts,1970-2009,134,3.1,1.8,3.5,4.4,98.8
1,13,Davey Lopes,1970-2009,155,2.0,2.1,3.6,4.4,88.8
1,14,Craig Biggio,1970-2009,350,3.0,2.2,2.8,3.6,58.4
1,15,Eric Young Sr.,1970-2009,129,2.7,0.7,2.3,4.5,89.6
2,1,Ozzie Smith,1970-2009,335,2.3,0.4,3.2,3.9,66.6
2,2,Derek Jeter,1970-2009,327,4.4,1.6,2.7,3.9,61.0
2,3,Omar Vizquel,1970-2009,227,2.7,0.4,2.4,3.7,67.9
2,4,Placido Polanco,1970-2009,155,4.0,0.9,0.6,3.0,84.4
2,5,Larry Bowa,1970-2009,174,2.1,0.4,0.7,4.2,61.7
2,6,Jay Bell,1970-2009,225,2.1,2.4,3.0,2.9,76.5
2,7,Ryne Sandberg,1970-2009,295,3.5,3.6,2.2,3.9,64.5
2,8,Joe Morgan,1970-2009,349,3.0,3.5,4.9,4.4,50.3
2,9,Felix Millan,1970-2009,93,3.3,0.5,0.7,2.4,73.3
2,10,Ken Griffey,1970-2009,139,4.1,2.3,2.7,4.2,67.9
2,11,Kevin Seitzer,1970-2009,131,3.8,1.0,3.5,2.3,50.2
2,12,Michael Young,1970-2009,135,4.0,1.7,1.4,3.1,53.7
2,13,Scott Fletcher,1970-2009,118,2.5,0.5,2.4,2.7,54.1
2,14,Tito Fuentes,1970-2009,79,2.8,0.9,0.6,3.0,78.1
2,15,Cristian Guzman,1970-2009,96,2.8,1.1,0.3,4.0,58.3
3,1,George Brett,1970-2009,389,4.4,3.9,3.0,3.4,72.4
3,2,Jeff Bagwell,1970-2009,360,3.5,4.2,4.4,2.7,76.9
3,3,Albert Pujols,1970-2009,306,4.8,4.7,4.1,1.8,82.1
3,4,Ken Griffey Jr.,1970-2009,318,3.5,4.5,3.5,2.8,86.4
3,5,Chipper Jones,1970-2009,320,3.8,3.9,4.4,2.4,76.2
3,6,Gary Sheffield,1970-2009,311,3.7,4.1,4.1,2.3,74.6
3,7,Keith Hernandez,1970-2009,269,4.1,2.6,4.3,2.2,84.2
3,8,Frank Thomas,1970-2009,313,3.7,4.4,4.8,0.6,81.3
3,9,Bobby Abreu,1970-2009,278,3.8,3.1,4.5,3.9,69.3
3,10,Will Clark,1970-2009,240,4.0,3.7,3.5,2.3,70.4
3,11,Larry Walker,1970-2009,269,4.2,4.5,3.4,3.7,50.5
3,12,Cal Ripken Jr.,1970-2009,411,2.6,3.2,2.6,1.3,64.4
3,13,Brian Giles,1970-2009,228,3.5,3.5,4.5,2.8,65.8
3,14,Andre Dawson,1970-2009,308,3.2,4.3,0.9,3.8,59.2
3,15,Vladimir Guerrero,1970-2009,248,4.6,4.3,2.4,3.0,51.6
4,1,Eddie Murray,1970-2009,385,3.6,3.8,3.4,1.5,77.7
4,2,Manny Ramirez,1970-2009,298,4.3,4.6,4.4,0.9,71.6
4,3,Fred McGriff,1970-2009,283,3.2,4.2,4.1,1.3,75.5
4,4,Carlos Delgado,1970-2009,242,2.7,4.5,4.1,0.6,78.7
4,5,Albert Belle,1970-2009,189,3.7,4.6,3.3,2.0,99.2
4,6,Greg Luzinski,1970-2009,165,3.0,4.3,3.6,0.9,93.2
4,7,Reggie Jackson,1970-2009,308,2.7,4.6,3.9,2.6,54.5
4,8,Willie Stargell,1970-2009,142,3.7,4.8,3.9,0.8,93.0
4,9,Ted Simmons,1970-2009,284,3.7,3.2,2.6,0.8,64.2
4,10,Bobby Bonilla,1970-2009,198,3.2,3.9,3.3,1.8,80.6
4,11,George Foster,1970-2009,240,3.0,4.4,2.5,1.9,62.7
4,12,Juan Gonzalez,1970-2009,162,3.7,4.6,1.2,1.3,81.8
4,13,Jeff Kent,1970-2009,260,3.2,3.8,2.2,2.5,69.9
4,14,Dave Winfield,1970-2009,352,3.2,3.9,3.1,2.9,54.4
4,15,Jack Clark,1970-2009,224,2.4,4.5,4.2,1.6,51.3
5-7,1,Graig Nettles,1970-2009,285,1.4,3.6,3.4,0.9,66.0
5-7,2,Ron Cey,1970-2009,263,1.7,3.9,3.9,0.7,70.3
5-7,3,Robin Ventura,1970-2009,253,2.0,2.9,3.9,0.5,64.7
5-7,4,Tim Wallach,1970-2009,220,2.0,3.3,1.6,1.4,66.6
5-7,5,Gary Carter,1970-2009,293,2.3,4.1,3.0,1.0,57.8
5-7,6,Gary Gaetti,1970-2009,207,1.5,3.4,1.3,2.0,69.0
5-7,7,Jorge Posada,1970-2009,173,2.5,3.5,4.5,0.7,90.4
5-7,8,Gene Tenace,1970-2009,156,0.8,4.1,4.9,1.3,85.3
5-7,9,Carlton Fisk,1970-2009,253,2.8,3.9,3.0,2.7,70.6
5-7,10,Doug Rader,1970-2009,119,0.9,3.1,2.7,2.2,94.0
5-7,11,Vinny Castilla,1970-2009,154,2.8,3.7,0.9,1.1,79.0
5-7,12,Tino Martinez,1970-2009,170,2.1,3.4,2.8,0.9,65.4
5-7,13,Todd Zeile,1970-2009,176,1.8,2.4,3.4,1.0,61.4
5-7,14,Adrián Beltré,1970-2009,204,2.0,3.0,1.5,2.4,55.7
5-7,15,Chet Lemon,1970-2009,205,2.7,3.6,3.1,2.0,62.9
8-9,1,Mike Bordick,1970-2009,123,1.7,0.8,1.5,2.2,65.9
8-9,2,Ozzie Guillen,1970-2009,118,2.2,0.2,0.1,3.7,72.0
8-9,3,Rey Ordonez,1970-2009,44,0.7,0.1,1.0,1.5,98.8
8-9,4,Gary Disarcina,1970-2009,56,1.4,0.3,0.1,2.2,89.2
8-9,5,Bob Boone,1970-2009,85,0.9,0.9,1.6,0.5,66.3
8-9,6,Mark Belanger,1970-2009,115,1.2,0.3,2.8,3.4,65.8
8-9,7,Bucky Dent,1970-2009,70,1.3,0.9,1.6,0.9,72.8
8-9,8,Walt Weiss,1970-2009,77,1.5,0.2,3.5,2.3,77.4
8-9,9,Ed Brinkman,1970-2009,64,0.7,1.0,1.5,1.2,67.4
8-9,10,Jose Uribe,1970-2009,33,0.6,0.4,2.3,3.0,93.0
8-9,11,Mark Lemke,1970-2009,47,1.1,0.5,3.1,1.0,63.5
8-9,12,Spike Owen,1970-2009,49,0.5,0.9,3.3,3.0,79.4
8-9,13,Greg Gagne,1970-2009,67,1.3,1.7,0.8,2.8,55.8
8-9,14,Dick Schofield,1970-2009,64,0.5,1.0,2.5,3.7,51.3
8-9,15,Mike Gallego,1970-2009,31,0.4,1.5,3.4,1.6,91.8
1,1,Mookie Betts,2010-present,253,4.0,3.9,3.5,4.3,85.0
1,2,Brett Gardner,2010-present,181,1.9,1.6,3.8,4.7,58.4
1,3,Michael Bourn,2010-present,86,2.5,0.5,2.6,4.9,98.1
1,4,Denard Span,2010-present,92,3.0,0.8,2.1,4.3,97.1
1,5,Austin Jackson,2010-present,106,2.8,1.5,2.6,4.4,87.8
1,6,Ian Kinsler,2010-present,161,2.5,2.4,2.2,3.9,73.0
1,7,Adam Eaton,2010-present,83,3.6,1.1,3.1,4.5,80.7
1,8,Whit Merrifield,2010-present,102,3.9,1.0,1.1,4.3,78.9
1,9,José Reyes,2010-present,95,3.5,1.6,1.6,4.8,78.3
1,10,Dee Strange-Gordon,2010-present,69,4.3,0.2,0.2,5.0,93.6
1,11,Ronald Acuña Jr.,2010-present,89,3.6,3.5,3.8,4.5,93.2
1,12,Dexter Fowler,2010-present,100,2.2,2.2,4.5,4.1,65.9
1,13,Marcus Semien,2010-present,170,2.6,3.1,2.9,3.7,65.1
1,14,Jacoby Ellsbury,2010-present,90,3.6,2.3,2.1,4.5,75.8
1,15,Charlie Blackmon,2010-present,131,4.1,3.3,1.6,4.0,76.4
2,1,Mike Trout,2010-present,284,4.6,4.7,4.8,4.3,53.8
2,2,Corey Seager,2010-present,126,3.6,3.4,2.6,1.6,78.5
2,3,Shohei Ohtani,2010-present,131,3.5,4.9,4.6,4.3,57.0
2,4,Martín Prado,2010-present,127,3.7,1.3,1.5,2.1,51.8
2,5,Dustin Pedroia,2010-present,113,4.2,1.4,3.3,2.7,51.4
2,6,Kris Bryant,2010-present,124,3.2,4.0,4.1,3.2,51.4
2,7,Bryan Reynolds,2010-present,90,3.5,2.8,2.9,3.3,59.2
2,8,Bo Bichette,2010-present,67,4.4,2.3,0.6,3.0,63.5
2,9,Andrew Benintendi,2010-present,88,3.4,1.3,3.2,3.4,50.9
2,10,Tommy Pham,2010-present,83,2.8,2.3,4.1,4.0,53.0
2,11,Amed Rosario,2010-present,71,3.4,0.7,0.3,4.6,54.3
2,12,Melky Cabrera,2010-present,75,3.9,1.8,1.4,2.4,54.2
2,13,Bobby Witt Jr.,2010-present,48,3.7,3.8,1.1,4.9,69.7
2,14,Fernando Tatis Jr.,2010-present,63,3.0,4.1,3.1,4.1,56.5
2,15,Marco Scutaro,2010-present,45,3.9,0.5,1.8,2.2,53.5
3,1,Joey Votto,2010-present,213,4.2,3.8,4.8,1.9,78.1
3,2,Freddie Freeman,2010-present,273,4.3,3.7,4.0,2.7,61.9
3,3,Miguel Cabrera,2010-present,209,4.6,4.2,4.1,0.8,68.3
3,4,Paul Goldschmidt,2010-present,251,3.9,3.8,4.3,2.8,62.7
3,5,Andrew McCutchen,2010-present,248,3.3,3.4,4.2,3.3,71.0
3,6,Bryce Harper,2010-present,174,3.3,4.3,4.7,2.8,63.8
3,7,José Bautista,2010-present,149,2.4,4.7,4.9,2.1,73.3
3,8,Ryan Braun,2010-present,147,4.1,4.2,2.6,3.9,87.4
3,9,Robinson Canó,2010-present,210,4.4,3.5,2.3,1.6,56.0
3,10,José Ramírez,2010-present,198,3.7,4.0,3.4,4.2,64.4
3,11,Anthony Rizzo,2010-present,189,2.6,3.8,3.9,2.2,56.4
3,12,Albert Pujols,2010-present,133,3.1,4.1,2.9,1.8,80.3
3,13,José Abreu,2010-present,168,3.9,3.3,1.8,1.1,68.2
3,14,Manny Machado,2010-present,224,3.4,3.5,2.5,2.3,50.0
3,15,Adrián González,2010-present,138,3.8,3.4,3.1,0.5,61.4
4,1,Adrián Beltré,2010-present,183,4.5,3.9,1.7,1.0,71.1
4,2,Nelson Cruz,2010-present,178,3.3,4.4,3.0,1.0,51.1
4,3,Buster Posey,2010-present,163,4.4,2.6,3.5,1.0,71.1
4,4,Edwin Encarnación,2010-present,140,2.5,4.5,4.4,1.5,59.2
4,5,Prince Fielder,2010-present,95,3.8,3.7,4.4,0.3,81.9
4,6,David Ortiz,2010-present,104,3.7,4.8,4.6,0.7,50.1
4,7,Pete Alonso,2010-present,89,1.8,4.7,3.0,1.4,58.3
4,8,Paul Konerko,2010-present,55,4.2,3.9,3.9,0.1,81.6
4,9,Khris Davis,2010-present,70,1.0,4.5,2.5,1.4,67.0
4,10,Troy Tulowitzki,2010-present,100,3.8,4.1,3.0,2.0,60.2
4,11,Christian Walker,2010-present,71,1.9,3.8,3.2,2.1,79.7
4,12,Aramis Ramirez,2010-present,71,3.3,3.7,1.2,1.5,72.0
4,13,Josh Bell,2010-present,84,2.2,2.8,3.9,0.9,59.7
4,14,Adam LaRoche,2010-present,57,1.6,4.0,3.9,1.0,65.1
4,15,Ryan Howard,2010-present,37,1.5,4.1,3.3,1.1,96.0
5-7,1,Yadier Molina,2010-present,157,3.7,1.9,1.3,1.3,90.4
5-7,2,Brandon Crawford,2010-present,147,2.0,2.2,2.6,2.6,70.3
5-7,3,Kyle Seager,2010-present,174,1.8,3.2,2.8,1.7,54.3
5-7,4,Jay Bruce,2010-present,122,1.6,4.2,3.1,2.5,64.6
5-7,5,Ian Desmond,2010-present,132,2.2,2.6,1.4,3.9,61.2
5-7,6,Jhonny Peralta,2010-present,89,2.2,2.5,2.6,0.7,74.4
5-7,7,Matt Wieters,2010-present,72,1.3,2.7,3.0,0.9,82.3
5-7,8,Mark Trumbo,2010-present,75,1.4,3.9,1.6,1.7,65.8
5-7,9,Andrelton Simmons,2010-present,109,2.4,0.9,1.3,3.0,56.6
5-7,10,Matt Chapman,2010-present,121,1.5,3.5,3.7,2.1,50.9
5-7,11,Russell Martin,2010-present,55,0.3,2.8,4.2,1.7,80.7
5-7,12,Kevin Pillar,2010-present,83,2.3,1.3,0.3,3.8,55.7
5-7,13,Howie Kendrick,2010-present,104,3.5,1.4,1.2,3.4,60.7
5-7,14,Mitch Moreland,2010-present,52,1.5,3.1,2.3,0.4,71.6
5-7,15,A.J. Pierzynski,2010-present,38,2.8,2.7,0.3,1.0,91.2
8-9,1,Myles Straw,2010-present,41,1.7,0.0,3.1,4.3,58.9
8-9,2,Orlando Arcia,2010-present,42,2.2,1.1,1.2,1.7,76.3
8-9,3,Adeiny Hechavarría,2010-present,24,1.4,0.1,0.6,3.1,59.5
8-9,4,Cliff Pennington,2010-present,29,1.4,0.9,2.3,3.9,69.0
8-9,5,Jorge Mateo,2010-present,17,0.5,2.1,0.4,5.0,79.5
8-9,6,Gordon Beckham,2010-present,21,0.4,0.9,1.4,1.5,71.1
8-9,7,Jordy Mercer,2010-present,40,1.4,1.3,2.1,1.8,50.7
8-9,8,Cesar Izturis,2010-present,7,0.1,0.0,0.5,2.4,98.7
8-9,9,Kevin Kiermaier,2010-present,23,2.1,2.0,0.5,4.9,51.4
8-9,10,Ronny Cedeno,2010-present,10,1.3,1.2,0.3,3.5,69.9
8-9,11,Jamey Carroll,2010-present,25,2.8,0.0,3.2,3.0,53.9
8-9,12,Leody Taveras,2010-present,17,3.0,1.5,1.6,3.5,91.4
8-9,13,Nicky Lopez,2010-present,26,4.1,0.1,2.4,4.5,60.8
8-9,14,Peter Bourjos,2010-present,20,2.6,2.3,1.0,4.8,63.6
8-9,15,Robert Andino,2010-present,13,2.1,0.2,2.2,2.8,61.0